Customer_ID,Date,Product,Price,Product Category ,Location
Jilly,2/7/2025,Silicone Baking Molds,15.99,Kitchen,156.196.161.38
Aigneis,12/16/2024,Breezy Off-The-Shoulder Top,34.99,Clothing - Tops,74.230.212.118
Essie,1/7/2025,Cinnamon Sugar Popcorn,2.89,Food - Snacks,120.167.214.153
Elias,10/26/2024,Chino Shorts,34.99,Clothing - Bottoms,190.2.254.115
Issy,2/16/2025,Creative Puzzle Game,19.99,Toys,36.21.15.132
Anabal,9/23/2024,Glass Tea Pot,34.99,Kitchen,239.22.107.69
Jo-ann,6/30/2025,Honey Sesame Cashews,4.49,Food - Snacks,90.205.137.193
Konstantine,10/21/2024,Cordless Electric Screwdriver,39.99,Tools,140.43.189.101
Jackelyn,3/5/2025,Ice Cream,5.99,Food - Frozen Foods,75.139.165.19
Fair,8/23/2024,Photo Album,24.99,Home,169.3.161.55
Peggie,6/6/2025,Savory Rice Cakes,2.5,Food - Snacks,220.78.124.135
Trish,8/14/2024,Electric Egg Cooker,29.99,Kitchen,237.38.2.38
Nero,7/12/2024,Portable Hammock,27.99,Outdoor,2.66.2.35
Viviyan,9/29/2024,Dishwasher Safe Cutting Board,22.99,Kitchen,250.59.107.168
Marlene,2/20/2025,Beef Taco Skillet,8.49,Food - Meal Kits,68.218.184.152
Constanta,4/4/2025,Creamy Spinach Dip,5.99,Food - Prepared Foods,116.28.193.107
Yorker,11/2/2024,Infrared Thermometer Gun,29.99,Health,213.175.212.55
Asher,5/21/2025,Electric Pressure Cooker,89.99,Kitchen,134.227.55.88
Patty,12/12/2024,Salsa,3.49,Food - Condiments,126.54.168.50
Willie,2/26/2025,Trail Mix (Deluxe),4.59,Food - Snacks,104.219.31.245
Gaby,9/12/2024,Wireless Earbuds,69.99,Audio,28.198.81.39
Byrann,7/15/2024,Organic Coconut Flour,5.49,Food - Baking,119.124.26.73
Gill,5/8/2025,Mini Electric Kettle,29.99,Kitchen,251.211.14.153
Dennison,2/27/2025,Picnic Blanket,29.99,Outdoor,137.224.255.19
Fernande,1/15/2025,Italian Meatballs,8.49,Food - Meat,4.175.43.196
Tonia,5/13/2025,Coconut Cream Pie Yogurt,1.99,Food - Dairy Alternatives,197.219.212.32
Valenka,12/7/2024,Organic Green Apples,1.49,Food - Produce,93.1.116.167
Henrie,4/29/2025,Caramelized Onion Dip,3.99,Food - Dairy,0.250.103.150
Jacquenette,12/31/2024,Tailored Blazer,99.99,Clothing - Outerwear,29.150.183.22
Gibb,11/16/2024,Berry Smoothie Mix,4.99,Food - Frozen Foods,75.13.165.168
Mortie,3/13/2025,Electric Egg Cooker,29.99,Kitchen,113.239.203.214
Ailene,3/25/2025,Lemon Herb Grilled Chicken,9.99,Food - Meat,110.206.176.252
Theresita,10/23/2024,Stylish Wireless Earbuds,59.99,Audio,46.27.238.183
Norean,9/20/2024,Artisan Cornbread Mix,2.49,Food - Baking,204.37.85.105
Munmro,11/21/2024,Organic Coconut Oil,8.99,Food - Oils,166.184.10.203
Horton,1/10/2025,Dried Apricots,3.79,Food - Dried Fruits,7.85.181.254
Benjamin,1/29/2025,Microfiber Cleaning Cloth Set,9.99,Home,168.12.157.196
Corbie,6/30/2025,Outdoor String Lights,24.99,Outdoor,56.8.23.50
Kimmi,7/15/2024,Spicy Thai Chili Sauce,3.29,Food - Sauces,241.62.193.65
Gerhardine,12/17/2024,BBQ Jackfruit,4.29,Food - Prepared Foods,215.176.8.92
Wanids,9/6/2024,Microwave Popcorn Maker,19.99,Kitchen,177.194.124.192
Eddy,1/24/2025,Asian Stir-Fry Kit,5.49,Food - Frozen Meals,40.140.250.243
Faustina,2/17/2025,Relaxed Fit Henley Shirt,29.99,Clothing - Tops,243.5.253.110
Wilma,8/4/2024,Thai Coconut Curry Sauce,3.99,Food - Condiments,65.0.215.66
Samson,5/2/2025,Chili Powder,2.09,Food - Spices,32.57.243.69
Vanessa,8/28/2024,Wireless Smart Plug,19.99,Smart Home,88.67.110.230
Urbanus,7/15/2024,Sun Protection Clothing,44.99,Clothing,0.136.238.232
Brnaby,10/7/2024,Portable Air Conditioner,299.99,Home Appliances,207.224.60.164
Paco,2/16/2025,Garden Tool Set with Carrying Bag,39.99,Garden,52.15.255.10
Ilyssa,2/16/2025,Window A/C Unit,299.99,Home Appliances,63.182.173.138
Tony,11/17/2024,Mango Chili Salsa,4.29,Food - Condiments,18.106.189.215
Helli,8/31/2024,Marinated Artichokes,3.79,Food - Vegetables,186.211.160.109
Culver,12/19/2024,Electric Ice Cream Maker,59.99,Kitchen,100.145.129.47
Elsy,8/5/2024,Vegetable Stir-Fry Sauce,3.49,Food - Sauces,109.210.13.166
Nadia,8/3/2024,Wireless Charging Station,39.99,Electronics,195.147.85.129
Husein,12/18/2024,Puffer Winter Coat,99.99,Clothing - Outerwear,60.151.126.221
Bride,5/18/2025,Protein Pancake Mix,3.99,Food - Breakfast,222.114.80.110
Gery,7/10/2024,Zucchini Noodle Pasta,3.99,Food - Vegetables,202.190.222.200
Aggie,11/26/2024,Deluxe First Aid Kit,39.99,Health,25.77.214.25
Tracee,2/3/2025,Banana Nut Muffins,4.49,Food - Bakery,8.34.100.75
Marjorie,9/2/2024,Dish Soap Dispenser,18.99,Kitchen,177.133.53.172
Deane,9/9/2024,Fitness Resistance Bands,29.99,Fitness,19.7.191.141
Gus,3/18/2025,Shredded Cheese,4.29,Food - Dairy,135.2.202.165
Deeann,5/3/2025,Oven-Baked Cheese Crisps,3.99,Food - Snacks,46.99.159.94
Bendite,5/10/2025,Wireless Charging Pad,19.99,Accessories,89.148.179.98
Bud,5/29/2025,Pumpkin Pie Spice,2.99,Food - Baking,130.162.105.237
Mathilda,6/11/2025,Mixed Berry Smoothie Pack,5.99,Food - Frozen Food,45.69.55.116
Omar,11/20/2024,Window Blinds,59.99,Home,156.217.3.148
Billy,11/28/2024,Tortilla Chips,2.99,Food - Snacks,159.207.6.199
Rebe,5/26/2025,Floral Wrap Top,49.99,Clothing - Tops,91.130.48.124
Bobine,12/4/2024,Hand Crank Blender,18.99,Kitchen,136.158.95.140
Simona,2/12/2025,Coconut Curry Lentils,5.79,Food - Canned Goods,2.17.246.237
Lou,10/9/2024,Kids' Art Supplies Kit,29.99,Toys,213.19.233.201
